d,training_error,testing_error
1,0.05985915492957746,0.15140845070422534
2,0.05985915492957746,0.15140845070422534
3,0.03169014084507042,0.12323943661971831
4,0.017605633802816902,0.11619718309859155
5,0.0,0.1267605633802817
6,0.0,0.1267605633802817
