learning_rate,training_accuracy,test_accuracy
0.0001,16.0750007629395,16.6200008392334
0.001,22.5074996948242,22.4200000762939
0.01,27.2299995422363,27.2800006866455
0.1,35.4949989318848,34.7400016784668
1,25.4349994659424,24.7000007629395
