learning_rate,training_accuracy,test_accuracy
0.0001,17.7574996948242,17.6299991607666
0.001,25.5575008392334,25.9599990844727
0.01,35.9724998474121,35.3600006103516
0.1,28.9074993133545,27.9300003051758
1,9.96000003814697,10
