learning_rate,training_accuracy,train_accuracy
0.0001,15.5699996948242,15.6800003051758
0.001,21.6450004577637,21.0499992370605
0.01,32.0125007629395,31.8899993896484
0.1,26.0074996948242,25.6800003051758
1,9.96000003814697,10
